Produto,Preço,Fornecedor,Data
Apple iPhone 16 Pro Max 256GB Titânio Natural,11369.0,Americanas,2025-05-15
Apple iPhone 16 128GB Ultramarino,6279.0,Americanas,2025-05-15
Apple iPhone 16 Pro Max 512GB Titânio natural,12749.0,Americanas,2025-05-15
Apple iPhone 16 Pro Max 256GB Titânio branco,11369.0,Americanas,2025-05-15
"IPhone 16 Pro Max Apple (256GB) Titânio Deserto, Tela de 6,9, 5G e Câmera de 48MP",11597.42,Americanas,2025-05-15
Apple iPhone 16 Plus 128GB Ultramarino,8719.0,Americanas,2025-05-15
"IPhone 16 Apple (128GB) Preto, Tela de 6,1, 5G e Câmera de 48MP",6584.03,Americanas,2025-05-15
"IPhone 16 Pro Max Apple (256GB) Titânio Preto, Tela de 6,9, 5G e Câmera de 48MP",11568.44,Americanas,2025-05-15
Apple iPhone 16 Pro Max 256GB Titânio preto,11369.0,Americanas,2025-05-15
Apple iPhone 16 Pro Max 512GB Titânio branco,12749.0,Americanas,2025-05-15
Apple iPhone 16 Pro Max 512GB Titânio preto,12749.0,Americanas,2025-05-15
Apple iPhone 16 Pro Max 256GB Titânio Deserto,11369.0,Americanas,2025-05-15
Apple iPhone 16 Plus 256GB Ultramarino,9359.0,Americanas,2025-05-15
Apple iPhone 16 Plus 128GB Preto,8719.0,Americanas,2025-05-15
"IPhone 16 Apple (128GB) Rosa, Tela de 6,1, 5G e Câmera de 48MP",6584.08,Americanas,2025-05-15
Apple iPhone 16 Plus 128GB Rosa,10258.92,Americanas,2025-05-15
Apple iPhone 16 Pro 256GB Titânio Preto,10309.0,Americanas,2025-05-15
Usado: iPhone 11 128GB Preto Bom - Trocafone,1835.1,Americanas,2025-05-15
"Apple iPhone 14 128GB iOS 5G Wi-Fi Tela 6.1"" Câmera Dupla 12MP - Meia Noite",5146.94,Americanas,2025-05-15
Usado: iPhone 12 64GB Preto Muito Bom - Trocafone,2123.1,Americanas,2025-05-15
iPhone 13 Apple 128GB iOS 5G Wi-Fi Tela 6.1'' Câmera Dupla 12MP - Meia-Noite,4439.0,Americanas,2025-05-15
Usado: iPhone 12 128GB Preto Bom - Trocafone,2285.1,Americanas,2025-05-15
iPhone 13 Apple 128GB iOS 5G Wi-Fi Tela 6.1'' Câmera Dupla 12MP - Estelar,4259.0,Americanas,2025-05-15
Usado: iPhone 11 64GB Vermelho Bom - Trocafone,1601.1,Americanas,2025-05-15
Caixa de Bombom Garoto 250g,13.99,Americanas,2025-05-15
Caixa de Bombons Variedades Chocolate Lacta Favoritos 250g,19.99,Americanas,2025-05-15
Caixa Bombom Especialidades Nestlé 251g,14.99,Americanas,2025-05-15
Barra de Chocolate Branco Lacta com Recheio Ouro Branco 98g,7.99,Americanas,2025-05-15
Ovo de Páscoa Sonic Chocolate ao Leite 80g - Delice,19.99,Americanas,2025-05-15
Barra de Chocolate Lacta ao Leite 80g,7.99,Americanas,2025-05-15
"Chocolate Kit Kat ao Leite Nestlé - 41,5g",3.99,Americanas,2025-05-15
Barra de Chocolate ao Leite Lacta com Recheio Sonho de Valsa 98g,7.99,Americanas,2025-05-15
Barra de Chocolate ao Leite Diamante Negro 80g,7.99,Americanas,2025-05-15
Barra de Chocolate Branco Laka Oreo 80g,7.99,Americanas,2025-05-15
Ovo de Páscoa Playstation Chocolate ao Leite 90g - Topcau,64.99,Americanas,2025-05-15
Ovo de Páscoa Manchester City Chocolate ao Leite Topcau 120g Vem com uma Bola Exclusiva,159.99,Americanas,2025-05-15
Ovo de Páscoa Flamengo Chocolate ao Leite Topcau 120g Vem com uma Bola Exclusiva,159.99,Americanas,2025-05-15
Ovo de Páscoa Bluey Chocolate ao Leite 90g - Topcau,64.99,Americanas,2025-05-15
Ovo de Páscoa Crocante Chocolate ao Leite 120g - Topcau,32.99,Americanas,2025-05-15
Ovo de Páscoa Ben 10 Chocolate ao Leite 80g - Topcau,25.99,Americanas,2025-05-15
Ovo de Páscoa Chocolate ao Leite Ben 10 90g - Topcau,64.99,Americanas,2025-05-15
Fórmula Infantil Nan Comfor 1 Nestlé 800g,83.47,Americanas,2025-05-15
Biscoito Oreo Recheado Chocolate 270g,12.99,Americanas,2025-05-15
Mucilon snack laranja + banana 35G,4.99,Americanas,2025-05-15
Salgadinho Club Social Snack Cebola e Salsa 68g,6.99,Americanas,2025-05-15
Molico zero lactose lata 260G,23.99,Americanas,2025-05-15
CEREAL MATINAL NESCAU CXA 210G NESTLE,9.99,Americanas,2025-05-15
Leite em Pó Desnatado Molico Total Cálcio Lata 280g,24.99,Americanas,2025-05-15
Cereal para alimentação infantil integral arroz & aveia mucilon pacote 180G,8.99,Americanas,2025-05-15
Barra de Chocolate Branco Laka 80g,7.99,Americanas,2025-05-15
Salgadinho Club Social Snack Churras na Brasa 68g,6.99,Americanas,2025-05-15
Nescafé Dolce Gusto Cappucino 10 cápsulas - 117g,29.99,Americanas,2025-05-15
Chocolate Twix Triplo Chocolate 4 Barras 80g,7.49,Americanas,2025-05-15
Fórmula Infantil nan Comfor 2 800g,127.68,Americanas,2025-05-15
