Produto,Preço,Fornecedor,Data
Apple iPhone 16 128GB - Preto,5299.0,Ponto Frio,2025-05-15
Apple iPhone 16 128GB - Ultramarino,5299.0,Ponto Frio,2025-05-15
Apple iPhone 16 128GB - Branco,5299.0,Ponto Frio,2025-05-15
Apple iPhone 16 256GB - Preto,5998.0,Ponto Frio,2025-05-15
Apple iPhone 16e de 128GB - Branco,3999.0,Ponto Frio,2025-05-15
Apple iPhone 16e de 128GB - Preto,3999.0,Ponto Frio,2025-05-15
Apple iPhone 16 Pro Max 256GB - Titânio-deserto,9199.0,Ponto Frio,2025-05-15
Apple iPhone 16 256GB - Branco,5998.0,Ponto Frio,2025-05-15
Apple iPhone 16 Pro 128GB - Titânio-deserto,7539.0,Ponto Frio,2025-05-15
Apple iPhone 16 Pro 128GB - Titânio Natural,7539.0,Ponto Frio,2025-05-15
Apple iPhone 16 Pro 256GB - Titânio-deserto,8397.0,Ponto Frio,2025-05-15
Apple iPhone 16 Plus 128GB - Preto,6999.0,Ponto Frio,2025-05-15
Apple iPhone 16 Pro Max 512GB - Titânio-deserto,10499.0,Ponto Frio,2025-05-15
Apple iPhone 16 Pro Max 512GB - Titânio Preto,10499.0,Ponto Frio,2025-05-15
Apple iPhone 16 Pro 256GB - Titânio Preto,8397.0,Ponto Frio,2025-05-15
Apple iPhone 16 Pro Max 512GB - Titânio Branco,10499.0,Ponto Frio,2025-05-15
Apple iPhone 16 Plus 512GB - Preto,8499.0,Ponto Frio,2025-05-15
Apple iPhone 16 Plus 512GB - Branco,8397.0,Ponto Frio,2025-05-15
Apple iPhone 16 Pro 256GB - Titânio Branco,7799.0,Ponto Frio,2025-05-15
