Produto,Preço,Fornecedor,Data
"Apple iPhone 16 128GB Preto 6,1"" 48MP iOS 5G",5309.1,Magazine Luiza,2025-05-19
"Apple iPhone 16e 128GB Preto 6,1"" 48MP iOS 5G",4166.04,Magazine Luiza,2025-05-19
"Apple iPhone 16e 128GB Branco 6,1"" 48MP iOS 5G",4166.04,Magazine Luiza,2025-05-19
"iPhone 16 Pro Apple 256GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Natural",8908.9,Magazine Luiza,2025-05-19
"iPhone 16 Pro Apple 512GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio-Deserto",10228.9,Magazine Luiza,2025-05-19
"iPhone 16 Plus Apple 512GB, Câmera Dupla de 48MP, Tela 6,7"", Branco",9568.91,Magazine Luiza,2025-05-19
Usado: iPhone 16 Pro 256GB Branco Excelente - Trocafy - Apple,8843.6,Magazine Luiza,2025-05-19
Usado: iPhone 16 Plus 512GB Rosa Excelente - Trocafy - Apple,8410.4,Magazine Luiza,2025-05-19
Apple iPhone 16 Plus 256GB Rosa,10281.03,Magazine Luiza,2025-05-19
Apple iPhone 16 Pro Max 256GB Titânio preto,12415.03,Magazine Luiza,2025-05-19
"Apple iPhone 16 Plus 128GB Rosa 6,7"" 48MP iOS 5G",6699.0,Magazine Luiza,2025-05-19
Apple iPhone 16 Pro 128GB Titânio Preto,11406.11,Magazine Luiza,2025-05-19
Apple iPhone 14 128GB (PRODUCT)RED,6300.03,Magazine Luiza,2025-05-19
Apple iPhone 15 de 128GB - Rosa,8174.88,Magazine Luiza,2025-05-19
Apple iPhone 16 Pro 128GB Titânio Deserto,11758.88,Magazine Luiza,2025-05-19
"iPhone 16e Apple (128GB) Preto, Tela de 6,1"", 5G e Câmera de 48 MP",5225.55,Magazine Luiza,2025-05-19
Apple iPhone 16 256GB Preto,7468.03,Magazine Luiza,2025-05-19
Apple iPhone 16e 256GB Preto,7390.88,Magazine Luiza,2025-05-19
Apple iPhone 16 256GB Rosa,7759.03,Magazine Luiza,2025-05-19
"Apple iPhone 16 128GB Rosa 6,1"" 48MP iOS 5G",5309.1,Magazine Luiza,2025-05-19
"Apple iPhone 16 Plus 256GB Rosa 6,7"" 48MP iOS 5G",8099.1,Magazine Luiza,2025-05-19
Apple iPhone 16e 256GB Branco,7390.88,Magazine Luiza,2025-05-19
Apple iPhone 16 512GB Ultramarino,8999.0,Magazine Luiza,2025-05-19
"iPhone 16 Plus Apple 256GB, Câmera Dupla de 48MP, Tela 6,7"", Rosa",8138.9,Magazine Luiza,2025-05-19
"iPhone 16 Plus Apple 256GB, Câmera Dupla de 48MP, Tela 6,7"", Branco",8358.89,Magazine Luiza,2025-05-19
"iPhone 16 Plus Apple 512GB, Câmera Dupla de 48MP, Tela 6,7"", Rosa",9348.89,Magazine Luiza,2025-05-19
"iPhone 16 Pro Apple 256GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio-Deserto",9018.9,Magazine Luiza,2025-05-19
"iPhone 16 Plus Apple 512GB, Câmera Dupla de 48MP, Tela 6,7"", Ultramarino",9678.91,Magazine Luiza,2025-05-19
"iPhone 16 Pro Apple 512GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Natural",10338.89,Magazine Luiza,2025-05-19
"Apple iPhone 16 128GB Ultramarino 6,1"" 48MP iOS 5G",5354.1,Magazine Luiza,2025-05-19
"Apple iPhone 16 Plus 128GB Ultramarino 6,7"" 48MP iOS 5G",6699.0,Magazine Luiza,2025-05-19
"iPhone 16 Pro Apple 256GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Preto",8908.9,Magazine Luiza,2025-05-19
"iPhone 16 Pro Max Apple 512GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Preto",11108.9,Magazine Luiza,2025-05-19
"iPhone 16 Pro Apple 512GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Branco",10668.91,Magazine Luiza,2025-05-19
"iPhone 16 Apple 512GB, Câmera Dupla de 48MP, Tela 6.1"", Rosa",9128.9,Magazine Luiza,2025-05-19
"iPhone 16 Plus Apple 256GB, Câmera Dupla de 48MP, Tela 6,7"", Preto",8138.9,Magazine Luiza,2025-05-19
"iPhone 16E Apple 512GB, Câmera 48MP, Tela Super Retina XDR 6,1"", Preto",7546.06,Magazine Luiza,2025-05-19
"iPhone 16 Plus Apple 128GB, Câmera Dupla de 48MP, Tela 6,7"", Verde-acinzentado",7478.89,Magazine Luiza,2025-05-19
"iPhone 16 Apple 512GB, Câmera Dupla de 48MP, Tela 6.1"", Ultramarino",9128.9,Magazine Luiza,2025-05-19
"Apple iPhone 16e 256GB Preto 6,1"" 48MP iOS 5G",5039.1,Magazine Luiza,2025-05-19
